city,lat,lng,country
Tokyo,35.687,139.7495,Japan
New York,40.6943,-73.9249,United States
Los Angeles,34.1141,-118.4068,United States
Seoul,37.5667,126.9833,"Korea, South"
London,51.5072,-0.1275,United Kingdom
Paris,48.8567,2.3522,France
Osaka,34.6939,135.5022,Japan
Beijing,39.9067,116.3975,China
Shanghai,31.2286,121.4747,China
Chicago,41.8375,-87.6866,United States
Moscow,55.7506,37.6175,Russia
Shenzhen,22.5415,114.0596,China
Guangzhou,23.13,113.26,China
Hong Kong,22.3,114.2,Hong Kong
Dallas,32.7935,-96.7667,United States
Houston,29.786,-95.3885,United States
Singapore,1.3,103.8,Singapore
Boston,42.3188,-71.0852,United States
Philadelphia,40.0077,-75.1339,United States
San Francisco,37.7558,-122.4449,United States
Washington,38.9047,-77.0163,United States
Sao Paulo,-23.5504,-46.6339,Brazil
Mexico City,19.4333,-99.1333,Mexico
Mumbai,19.0761,72.8775,India
Delhi,28.61,77.23,India
Bangkok,13.7525,100.4942,Thailand
Istanbul,41.0136,28.955,Turkey
Jakarta,-6.175,106.8275,Indonesia
Toronto,43.7417,-79.3733,Canada
Sydney,-33.8667,151.2,Australia
