city,lat,lng
Spain,40.4169,-3.7033
United States,38.9047,-77.0163
France,48.8567,2.3522
Malta,35.8983,14.5125
Andorra,42.5,1.5
Ireland,53.3497,-6.2603
England,52.3555,-1.1743
United Kingdom,51.5072,-0.1275
Scotland,56.4907,-4.2026
Wales,52.1307,-3.7837
Belgium,50.8467,4.3525
Netherlands,52.3728,4.8936
Hungary,47.4983,19.0408
Switzerland,46.948,7.4474
Tunisia,36.8064,10.1817
Czechia,50.0875,14.4214
Portugal,38.7122,-9.134
Austria,48.2083,16.3725
Slovenia,46.0514,14.5061
Croatia,45.8131,15.9772
Slovakia,48.1447,17.1128
Italy,41.8931,12.4828
Poland,52.23,21.0111
Lithuania,54.6872,25.28
Latvia,56.9475,24.1069
Estonia,59.4372,24.7453
Denmark,55.6805,12.5615
Norway,59.9133,10.7389
Sweden,59.3275,18.0547
Finland,60.1708,24.9375
Belarus,53.9006,27.5586
Ukraine,50.45,30.5233
Russia,55.7506,37.6175
Moldova,47.0228,28.8353
Romania,44.4325,26.1039
Serbia,44.8178,20.4569
Bulgaria,42.6979,23.3217
Montenegro,42.4414,19.2628
Albania,41.3272,19.8186
Greece,37.9842,23.7281
Germany,52.52,13.405
